Body Type,Club,Club (group),Contract Valid Until,Height,ID,Jersey Number,Joined,Loaned From,Name,Nationality,Play|Not_Play,Position,Preferred Foot,Release Clause,Value,Wage,Weight,Work Rate,Acceleration,Age,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,F1,Finishing,FK Accuracy,GK calculation,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,International Reputation,Jumping,Long Passing,Long Shots,Marking,Number of Records,Overall,Penalties,Positioning,Potential,Reactions,Short Passing,Shot Power,Skill Moves,Sliding Tackle,Special,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Weak Foot
Messi,FC Barcelona,Europe league,2021,5'7,158023,10,01-07-2004,,L. Messi,Argentina,Yes,RF,Left,€226.5M,€110.5M,€565K,159lbs,Medium/ Medium,91,31,48,91,95,96,96,84,93,97,0,95,94,Low,6,11,15,14,8,70,22,5,68,87,94,33,1,94,75,94,94,95,90,85,4,26,2202,86,72,28,59,94,86,4
C. Ronaldo,Juventus,Europe league,2022,6'2,20801,7,10-07-2018,,Cristiano Ronaldo,Portugal,Yes,ST,Right,€127.1M,€77M,€405K,183lbs,High/ Low,89,33,63,87,70,94,95,84,81,88,1,94,76,Low,7,11,15,14,11,89,29,5,95,77,93,28,1,94,85,95,94,96,81,95,5,23,2228,91,88,31,79,82,87,4
Neymar,Paris Saint-Germain,Europe league,2022,5'9,190871,10,03-08-2017,,Neymar Jr,BRAZIL,Yes,LW,Right,€228.1M,€118.5M,€290K,150lbs,High/ Medium,94,26,56,96,84,95,94,79,88,96,2,87,87,High,9,9,15,15,11,62,36,5,61,78,82,27,1,92,81,89,93,94,84,80,5,33,2143,90,81,24,49,87,84,5
Lean,Manchester United,Manchester United,2020,6'4,193080,1,01-07-2011,,De Gea,Spain,Yes,GK,Right,€138.6M,€72M,€260K,168lbs,Medium/ Medium,57,27,38,60,43,42,68,17,21,18,3,13,19,High,90,85,87,88,94,21,30,4,67,51,12,15,1,91,40,12,93,90,50,31,1,13,1471,58,43,21,64,68,13,3
Normal,Manchester City,Manchester City,2023,5'11,192985,7,30-08-2015,,K. De Bruyne,Belgium,Yes,RCM,Right,€196.4M,€102M,€355K,154lbs,High/ High,78,27,76,79,77,91,88,93,85,86,4,82,83,Low,15,13,5,10,13,55,61,4,63,91,91,68,1,91,79,87,92,91,92,91,4,51,2281,76,90,58,75,94,82,5
Normal,Chelsea,Europe league,2020,5'8,183277,10,01-07-2012,,E. Hazard,Belgium,Yes,LF,Right,€172.1M,€93M,€340K,163lbs,High/ Medium,94,27,54,95,94,94,91,81,83,95,5,84,79,Low,11,12,6,8,8,61,41,4,56,83,80,34,1,91,86,87,91,90,89,82,4,22,2142,88,83,27,66,89,80,4
Lean,Real Madrid,Europe league,2020,5'8,177003,10,01-08-2012,,L. Modrić,Croatia,Yes,RCM,Right,€137.4M,€67M,€420K,146lbs,High/ High,80,32,62,93,94,93,84,86,85,90,6,72,78,Low,13,9,7,14,9,55,83,4,68,88,82,60,1,91,82,79,91,90,93,79,4,73,2280,72,89,76,58,92,76,4
Normal,FC Barcelona,Europe league,2021,6'0,176580,9,11-07-2014,,L. Suárez,Uruguay,Yes,RS,Right,€164M,€80M,€455K,190lbs,High/ Medium,86,31,87,82,83,90,85,77,86,87,7,93,84,High,27,25,31,33,37,77,41,5,69,64,85,62,1,91,85,92,91,92,82,86,3,38,2346,75,90,45,83,84,88,4
Normal,Real Madrid,Europe league,2020,6'0,155862,15,01-08-2005,,Sergio Ramos,Spain,Yes,RCB,Right,€104.6M,€51M,€380K,181lbs,High/ Medium,76,32,88,78,66,84,82,66,74,63,8,60,72,High,11,8,9,7,11,91,90,4,93,77,59,87,1,91,75,60,91,85,78,79,3,91,2201,75,84,92,83,63,66,3
Normal,Atlético Madrid,Atlético Madrid,2021,6'2,200389,1,16-07-2014,,J. Oblak,Slovenia,Yes,GK,Right,€144.5M,€68M,€94K,192lbs,Medium/ Medium,43,25,34,67,49,16,70,13,13,12,9,11,14,Low,86,92,78,88,89,15,19,3,76,26,12,27,1,90,11,11,93,86,29,22,1,18,1331,60,41,12,78,70,13,3
